epoch,percentage
0,32.744
1,43.14
2,47.154
3,50.524
4,52.884
5,55.194
6,57.096
7,58.876
8,60.684
9,62.332
10,63.752
11,65.364
12,66.764
13,68.388
14,69.766
15,70.866
16,72.482
17,73.972
18,75.378
19,76.544
20,54.94
