epoch,percentage
0,28.328
1,38.446
2,42.538
3,45.054
4,47.51
5,49.382
6,51.202
7,52.784
8,54.578
9,55.718
10,57.076
11,58.504
12,59.458
13,60.774
14,62.064
15,62.97
16,64.276
17,65.076
18,66.3
19,67.218
20,54.41
